日期,股票代码,股票名称,买入信号总分,触发信号,收盘价,K,D,J,DIF,DEA
2025-10-27,688176,亚虹医药,8,KDJ低位反转金叉，MACD金叉，MACD柱体由绿转红,9.94,26.47,21.2,37.01,-0.388,-0.393
2025-10-28,002721,金一文化,8,KDJ低位反转金叉，MACD金叉，MACD柱体由绿转红,3.41,21.88,20.49,24.67,-0.089,-0.092
2025-10-23,000686,东北证券,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,8.72,49.31,41.19,65.55,0.032,0.029
2025-10-24,300129,泰胜风能,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,8.51,54.76,45.74,72.8,0.109,0.107
2025-10-27,600058,五矿发展,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,9.17,61.66,51.53,81.9,-0.022,-0.025
2025-10-27,688009,中国通号,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,5.49,62.43,49.65,88.01,0.009,0.003
2025-10-27,601108,财通证券,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,8.53,63.67,53.39,84.24,0.014,0.008
2025-10-27,601179,中国西电,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,7.68,61.52,50.58,83.4,0.197,0.167
2025-10-27,601555,东吴证券,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,9.78,56.72,42.88,84.4,0.029,0.02
2025-10-27,002797,第一创业,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,7.91,61.61,46.02,92.79,-0.006,-0.008
2025-10-27,600905,三峡能源,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,4.33,59.07,52.23,72.74,0.01,0.009
2025-10-27,600397,江钨装备,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,7.73,37.67,37.67,37.65,0.018,0.016
2025-10-27,600795,国电电力,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,5.31,72.37,62.61,91.89,0.054,0.05
2025-10-28,000892,欢瑞世纪,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,6.49,72.18,63.36,89.84,0.137,0.124
2025-10-28,000753,漳州发展,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,8.64,74.51,59.52,104.51,0.258,0.211
2025-10-22,300176,鸿特科技,5,MACD金叉，MACD柱体由绿转红,7.38,81.09,70.83,101.62,-0.049,-0.056
2025-10-23,300299,富春股份,5,MACD金叉，MACD柱体由绿转红,6.32,55.68,43.9,79.26,-0.19,-0.197
