股票代码,股票名称,买入信号,评分,图表路径
300787,海能实业,RSI值为47.42，处于低位回升阶段; MACD金叉形成,35,results/300787_海能实业_analysis.png
300788,中信出版,"RSI值为44.41，处于低位回升阶段; MACD金叉形成; 放量上涨: 量比2.23, 涨幅1.63%",50,results/300788_中信出版_analysis.png
300790,宇瞳光学,RSI值为36.68，处于低位回升阶段; KDJ低位金叉,30,results/300790_宇瞳光学_analysis.png
300795,米奥会展,"RSI值为42.65，处于低位回升阶段; MACD金叉形成; 放量上涨: 量比1.90, 涨幅1.48%",50,results/300795_米奥会展_analysis.png
300796,贝斯美,RSI值为38.10，处于低位回升阶段; MACD金叉形成,35,results/300796_贝斯美_analysis.png
300800,力合科技,"放量上涨: 量比1.61, 涨幅1.34%; 突破20日前高",30,results/300800_力合科技_analysis.png
300801,泰和科技,"RSI值为46.62，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比2.83, 涨幅7.30%",45,results/300801_泰和科技_analysis.png
300812,易天股份,"MACD金叉形成; 放量上涨: 量比3.94, 涨幅6.72%",35,results/300812_易天股份_analysis.png
300813,泰林生物,RSI值为35.41，处于低位回升阶段; KDJ低位金叉,30,results/300813_泰林生物_analysis.png
300816,艾可蓝,RSI值为48.89，处于低位回升阶段; MACD金叉形成,35,results/300816_艾可蓝_analysis.png
300822,贝仕达克,RSI值为32.35，处于低位回升阶段; MACD金叉形成,35,results/300822_贝仕达克_analysis.png
300823,建科智能,"MA金叉形成; 放量上涨: 量比7.34, 涨幅5.91%; 突破20日前高",50,results/300823_建科智能_analysis.png
300831,派瑞股份,RSI值为42.60，处于低位回升阶段; MACD金叉形成,35,results/300831_派瑞股份_analysis.png
300834,星辉环材,RSI值为47.50，处于低位回升阶段; KDJ低位金叉,30,results/300834_星辉环材_analysis.png
300843,胜蓝股份,"RSI值为44.41，处于低位回升阶段; KDJ低位金叉; 放量上涨: 量比2.89, 涨幅5.86%",45,results/300843_胜蓝股份_analysis.png
300850,新强联,"KDJ金叉; 放量上涨: 量比3.29, 涨幅8.71%; 突破20日前高",40,results/300850_新强联_analysis.png
300858,科拓生物,"RSI值为47.14，处于低位回升阶段; MACD金叉形成; 放量上涨: 量比7.72, 涨幅4.86%",50,results/300858_科拓生物_analysis.png
300865,大宏立,"放量上涨: 量比3.53, 涨幅9.44%; 突破20日前高",30,results/300865_大宏立_analysis.png
300866,安克创新,RSI值为41.49，处于低位回升阶段; MACD金叉形成,35,results/300866_安克创新_analysis.png
300870,欧陆通,RSI值为37.14，处于低位回升阶段; KDJ低位金叉,30,results/300870_欧陆通_analysis.png
300873,海晨股份,RSI值为36.31，处于低位回升阶段; KDJ低位金叉,30,results/300873_海晨股份_analysis.png
300876,蒙泰高新,"MACD金叉形成; 放量上涨: 量比2.60, 涨幅9.25%; 突破20日前高",50,results/300876_蒙泰高新_analysis.png
300887,谱尼测试,RSI值为39.02，处于低位回升阶段; MACD金叉形成,35,results/300887_谱尼测试_analysis.png
300901,中胤时尚,"放量上涨: 量比1.99, 涨幅6.17%; 突破20日前高",30,results/300901_中胤时尚_analysis.png
300921,南凌科技,RSI值为43.57，处于低位回升阶段; MACD金叉形成,35,results/300921_南凌科技_analysis.png
300927,江天化学,"MACD金叉形成; KDJ低位金叉; 放量上涨: 量比2.35, 涨幅3.10%",50,results/300927_江天化学_analysis.png
300928,华安鑫创,RSI值为42.91，处于低位回升阶段; MACD金叉形成; KDJ低位金叉,50,results/300928_华安鑫创_analysis.png
300932,三友联众,"MA金叉形成; 放量上涨: 量比2.97, 涨幅4.14%",35,results/300932_三友联众_analysis.png
300936,中英科技,RSI值为34.93，处于低位回升阶段; KDJ低位金叉,30,results/300936_中英科技_analysis.png
