股票代码,股票名称,买入信号,评分,图表路径
300169,天晟新材,RSI值为47.71，处于低位回升阶段; MACD金叉形成; KDJ低位金叉,50,results/300169_天晟新材_analysis.png
300172,中电环保,"KDJ金叉; 放量上涨: 量比1.65, 涨幅2.97%; 突破20日前高",40,results/300172_中电环保_analysis.png
300174,元力股份,RSI值为37.16，处于低位回升阶段; KDJ低位金叉,30,results/300174_元力股份_analysis.png
300177,中海达,RSI值为32.32，处于低位回升阶段; KDJ低位金叉,30,results/300177_中海达_analysis.png
300191,潜能恒信,"MACD金叉形成; KDJ低位金叉; 放量上涨: 量比2.55, 涨幅6.30%; 突破20日前高",65,results/300191_潜能恒信_analysis.png
300192,科德教育,RSI值为38.40，处于低位回升阶段; KDJ低位金叉,30,results/300192_科德教育_analysis.png
300193,佳士科技,RSI值为45.83，处于低位回升阶段; KDJ低位金叉,30,results/300193_佳士科技_analysis.png
300196,长海股份,RSI值为43.29，处于低位回升阶段; KDJ低位金叉,30,results/300196_长海股份_analysis.png
300197,节能铁汉,RSI值为40.00，处于低位回升阶段; KDJ低位金叉,30,results/300197_节能铁汉_analysis.png
300199,翰宇药业,RSI值为38.30，处于低位回升阶段; MACD金叉形成,35,results/300199_翰宇药业_analysis.png
300217,东方电热,RSI值为30.61，处于低位回升阶段; KDJ低位金叉,30,results/300217_东方电热_analysis.png
300218,安利股份,RSI值为32.10，处于低位回升阶段; KDJ低位金叉,30,results/300218_安利股份_analysis.png
300220,金运激光,RSI值为42.81，处于低位回升阶段; MACD金叉形成,35,results/300220_金运激光_analysis.png
300227,光韵达,RSI值为37.75，处于低位回升阶段; KDJ低位金叉,30,results/300227_光韵达_analysis.png
