股票代码,股票名称,买入信号,评分,图表路径
300129,泰胜风能,"MA金叉形成; MACD金叉形成; KDJ低位金叉; 放量上涨: 量比3.21, 涨幅5.58%",70,results/300129_泰胜风能_analysis.png
600795,国电电力,"MACD金叉形成; KDJ金叉; 放量上涨: 量比1.96, 涨幅3.91%; 突破20日前高",60,results/600795_国电电力_analysis.png
300128,锦富技术,"MACD金叉形成; KDJ金叉; 放量上涨: 量比4.35, 涨幅20.07%; 突破20日前高",60,results/300128_锦富技术_analysis.png
601588,北辰实业,"MA金叉形成; MACD金叉形成; 放量上涨: 量比1.61, 涨幅3.98%",55,results/601588_北辰实业_analysis.png
002109,兴化股份,"MA金叉形成; MACD金叉形成; 放量上涨: 量比2.70, 涨幅3.15%",55,results/002109_兴化股份_analysis.png
002588,史丹利,"MACD金叉形成; KDJ低位金叉; 放量上涨: 量比3.04, 涨幅5.05%",50,results/002588_史丹利_analysis.png
002337,赛象科技,"MA金叉形成; 放量上涨: 量比5.56, 涨幅10.03%; 突破20日前高",50,results/002337_赛象科技_analysis.png
002609,捷顺科技,RSI值为45.69，处于低位回升阶段; MACD金叉形成; KDJ低位金叉,50,results/002609_捷顺科技_analysis.png
600189,泉阳泉,RSI值为49.28，处于低位回升阶段; MACD金叉形成; KDJ低位金叉,50,results/600189_泉阳泉_analysis.png
300227,光韵达,"MACD金叉形成; 放量上涨: 量比5.05, 涨幅8.59%; 突破20日前高",50,results/300227_光韵达_analysis.png
000599,青岛双星,"MACD金叉形成; 放量上涨: 量比1.99, 涨幅3.21%; 突破20日前高",50,results/000599_青岛双星_analysis.png
300289,利德曼,"MA金叉形成; 放量上涨: 量比3.41, 涨幅7.06%; 突破20日前高",50,results/300289_利德曼_analysis.png
002161,远 望 谷,"RSI值为48.10，处于低位回升阶段; MACD金叉形成; 放量上涨: 量比1.76, 涨幅3.80%",50,results/002161_远 望 谷_analysis.png
