股票代码,股票名称,买入信号,评分,图表路径
000096,广聚能源,"【高胜率】MACD红柱连续放大; 【高胜率】KDJ低位金叉 (K=41.77); 【高胜率】KDJ金叉配合RSI强势区 (57.22); 放量上涨: 量比1.53, 涨幅1.51%",55,results/20251021/20251021_091819_000096_广聚能源_analysis.png
000151,中成股份,"【高胜率】MACD水下金叉形成; 【高胜率】MACD红柱连续放大; 放量上涨: 量比5.20, 涨幅4.15%",55,results/20251021/20251021_091819_000151_中成股份_analysis.png
000156,华数传媒,"【高胜率】KDJ低位金叉 (K=31.55); 【高胜率】KDJ金叉配合RSI强势区 (52.27); 放量上涨: 量比2.13, 涨幅3.39%",40,results/20251021/20251021_091819_000156_华数传媒_analysis.png
000159,国际实业,"MA60支撑有效 (收盘价在其上); 【高胜率】MACD红柱连续放大; 放量上涨: 量比1.53, 涨幅2.01%; 突破20日前高",50,results/20251021/20251021_091819_000159_国际实业_analysis.png
000403,派林生物,【高胜率】MACD红柱连续放大; RSI值为31.29，处于低位回升阶段,30,results/20251021/20251021_091819_000403_派林生物_analysis.png
000404,长虹华意,【高胜率】MACD红柱连续放大; 【高胜率】KDJ低位金叉 (K=48.52); 【高胜率】KDJ金叉配合RSI强势区 (56.00),40,results/20251021/20251021_091819_000404_长虹华意_analysis.png
000407,胜利股份,"MA60支撑有效 (收盘价在其上); 【高胜率】均线多头排列初期 (MA5 > MA20 > MA60); 【高胜率】MACD红柱连续放大; 放量上涨: 量比1.62, 涨幅1.85%; 突破20日前高",65,results/20251021/20251021_091819_000407_胜利股份_analysis.png
000409,云鼎科技,【高胜率】MACD水下金叉形成; 【高胜率】MACD红柱连续放大; RSI值为48.63，处于低位回升阶段,55,results/20251021/20251021_091819_000409_云鼎科技_analysis.png
000415,渤海租赁,MA60支撑有效 (收盘价在其上); 【高胜率】MACD水下金叉形成; 【高胜率】MACD红柱连续放大,45,results/20251021/20251021_091819_000415_渤海租赁_analysis.png
000419,通程控股,"MA60支撑有效 (收盘价在其上); 【高胜率】MACD红柱连续放大; 放量上涨: 量比1.62, 涨幅2.03%",35,results/20251021/20251021_091819_000419_通程控股_analysis.png
000501,武商集团,"【高胜率】MACD红柱连续放大; 放量上涨: 量比2.31, 涨幅4.89%",30,results/20251021/20251021_091819_000501_武商集团_analysis.png
000509,华塑控股,"MA60支撑有效 (收盘价在其上); 【高胜率】MACD水下金叉形成; 【高胜率】MACD红柱连续放大; KDJ金叉 (中高位); 【高胜率】KDJ金叉配合RSI强势区 (53.41); 放量上涨: 量比5.71, 涨幅9.87%",80,results/20251021/20251021_091819_000509_华塑控股_analysis.png
000514,渝 开 发,"KDJ金叉 (中高位); 【高胜率】KDJ金叉配合RSI强势区 (63.38); 放量上涨: 量比1.63, 涨幅4.11%",35,results/20251021/20251021_091819_000514_渝 开 发_analysis.png
000517,荣安地产,MA60支撑有效 (收盘价在其上); MACD金叉形成 (零轴上); 【高胜率】MACD红柱连续放大,40,results/20251021/20251021_091819_000517_荣安地产_analysis.png
000519,中兵红箭,【高胜率】MACD红柱连续放大; KDJ金叉 (中高位); 【高胜率】KDJ金叉配合RSI强势区 (66.34),35,results/20251021/20251021_091819_000519_中兵红箭_analysis.png
000520,凤凰航运,【高胜率】MACD红柱连续放大; RSI值为48.98，处于低位回升阶段,30,results/20251021/20251021_091819_000520_凤凰航运_analysis.png
000521,长虹美菱,【高胜率】KDJ低位金叉 (K=45.55); RSI值为49.33，处于低位回升阶段,30,results/20251021/20251021_091819_000521_长虹美菱_analysis.png
