日期,股票代码,股票名称,买入信号总分,触发信号,收盘价,K,D,J,DIF,DEA
2025-10-31,002480,新筑股份,10,KDJ低位反转金叉，MACD金叉，MACD柱体由绿转红，短期均线多头确认,6.94,45.71,43.68,49.78,-0.011,-0.015
2025-10-27,688176,亚虹医药,8,KDJ低位反转金叉，MACD金叉，MACD柱体由绿转红,9.94,26.47,21.2,37.01,-0.388,-0.393
2025-10-31,600037,歌华有线,8,KDJ低位反转金叉，MACD金叉，MACD柱体由绿转红,8.04,27.77,24.41,34.48,-0.099,-0.11
2025-10-31,002387,维信诺,8,KDJ低位反转金叉，MACD金叉，MACD柱体由绿转红,8.5,29.15,25.62,36.21,-0.273,-0.278
2025-10-31,600576,祥源文旅,8,KDJ低位反转金叉，MACD金叉，MACD柱体由绿转红,7.23,37.53,33.19,46.22,-0.217,-0.228
2025-10-27,688009,中国通号,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,5.49,62.43,49.65,88.01,0.009,0.003
2025-10-29,600328,中盐化工,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,7.96,43.84,34.76,61.99,-0.017,-0.024
2025-10-30,301215,中汽股份,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,6.69,82.58,74.27,99.2,-0.007,-0.021
2025-10-30,600905,三峡能源,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,4.38,51.13,45.73,61.94,0.012,0.009
2025-10-30,600863,内蒙华电,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,4.29,63.21,57.8,74.02,0.039,0.038
2025-10-31,002516,旷达科技,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,6.2,70.44,67.2,76.92,0.016,0.014
2025-10-31,002492,恒基达鑫,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,8.43,84.36,71.11,110.86,0.129,0.101
2025-10-31,002548,金新农,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,4.97,64.67,58.23,77.54,0.013,0.012
2025-10-31,600526,菲达环保,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,5.58,68.62,64.37,77.11,0.065,0.056
2025-10-31,002091,江苏国泰,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,9.34,70.77,62.55,87.22,0.065,0.04
2025-10-31,000796,凯撒旅业,7,MACD金叉，MACD柱体由绿转红，短期均线多头确认,6.55,53.52,43.78,73.0,0.068,0.065
2025-10-22,300176,鸿特科技,5,MACD金叉，MACD柱体由绿转红,7.38,81.09,70.83,101.62,-0.049,-0.056
2025-10-23,300299,富春股份,5,MACD金叉，MACD柱体由绿转红,6.32,55.68,43.9,79.26,-0.19,-0.197
2025-10-23,600189,泉阳泉,5,MACD金叉，MACD柱体由绿转红,7.15,52.85,43.59,71.36,-0.064,-0.069
2025-10-24,300350,华鹏飞,5,MACD金叉，MACD柱体由绿转红,6.74,83.88,75.86,99.93,0.029,0.021
2025-10-24,300011,鼎汉技术,5,MACD金叉，MACD柱体由绿转红,8.1,71.08,61.35,90.53,-0.046,-0.059
2025-10-24,300227,光韵达,5,MACD金叉，MACD柱体由绿转红,9.99,74.27,59.22,104.36,-0.097,-0.15
2025-10-24,300355,蒙草生态,5,MACD金叉，MACD柱体由绿转红,4.15,55.78,49.01,69.32,-0.093,-0.095
2025-10-27,601990,南京证券,5,MACD金叉，MACD柱体由绿转红,8.52,61.33,46.21,91.57,-0.026,-0.028
2025-10-27,603399,永杉锂业,5,MACD金叉，MACD柱体由绿转红,9.86,48.29,38.02,68.82,-0.089,-0.099
2025-10-27,688280,精进电动,5,MACD金叉，MACD柱体由绿转红,8.06,76.39,58.97,111.22,-0.223,-0.226
2025-10-27,688496,清越科技,5,MACD金叉，MACD柱体由绿转红,8.93,62.51,51.85,83.81,-0.19,-0.197
2025-10-27,603980,吉华集团,5,MACD金叉，MACD柱体由绿转红,5.54,62.83,59.25,69.98,-0.038,-0.039
2025-10-27,605006,山东玻纤,5,MACD金叉，MACD柱体由绿转红,7.74,55.95,49.69,68.48,-0.108,-0.117
2025-10-27,688602,康鹏科技,5,MACD金叉，MACD柱体由绿转红,8.51,52.48,38.74,79.95,-0.109,-0.117
2025-10-27,688609,九联科技,5,MACD金叉，MACD柱体由绿转红,9.63,59.76,47.05,85.18,-0.298,-0.304
